"","Mean","Median","Mode","ESS","HDImass","HDIlow","HDIhigh","CompVal","PcntGtCompVal","ROPElow","ROPEhigh","PcntLtROPE","PcntInROPE","PcntGtROPE"
"m[5,12,1]",0.186935600836327,0.201163,0.206591881026459,205.4,0.95,-0.378284,0.797745,NA,NA,NA,NA,NA,NA,NA
"m[6,12,1]",0.6231020499002,0.624004,0.613456395325573,246.7,0.95,0.316331,0.942079,NA,NA,NA,NA,NA,NA,NA
"m[7,12,1]",0.672221333732535,0.671977,0.626220752752134,294.7,0.95,0.0807443,1.13032,NA,NA,NA,NA,NA,NA,NA
"m[8,12,1]",0.792305646706587,0.802754,0.840764230444325,157,0.95,0.484645,1.10579,NA,NA,NA,NA,NA,NA,NA
"m[9,12,1]",0.844795718562874,0.853067,0.891630298794925,261.2,0.95,0.51886,1.1786,NA,NA,NA,NA,NA,NA,NA
"m[10,12,1]",0.861734225548902,0.854974,0.874573511366481,243.8,0.95,0.410979,1.3241,NA,NA,NA,NA,NA,NA,NA
"m[11,12,1]",1.17167970658683,1.16466,1.1467370434707,244.6,0.95,0.819347,1.43891,NA,NA,NA,NA,NA,NA,NA
"m[1,13,1]",0.0329496322974052,0.0358765,0.0318181210371687,230.6,0.95,-0.284532,0.337726,NA,NA,NA,NA,NA,NA,NA
"m[2,13,1]",0.272841109141717,0.29647,0.337902160327661,201.9,0.95,-0.514802,0.872153,NA,NA,NA,NA,NA,NA,NA
"m[3,13,1]",0.247136549491018,0.242307,0.184652213159057,127.8,0.95,-0.113435,0.666135,NA,NA,NA,NA,NA,NA,NA
"m[4,13,1]",0.371275992774451,0.369127,0.376084870976417,318.8,0.95,0.042099,0.688355,NA,NA,NA,NA,NA,NA,NA
"m[5,13,1]",0.17976924398004,0.184102,0.20821552719666,173.9,0.95,-0.298886,0.795298,NA,NA,NA,NA,NA,NA,NA
"m[6,13,1]",0.615935710578842,0.6183,0.656938164276095,279,0.95,0.302741,0.892315,NA,NA,NA,NA,NA,NA,NA
"m[7,13,1]",0.665055099600798,0.690623,0.732093067995822,272.1,0.95,0.122452,1.10797,NA,NA,NA,NA,NA,NA,NA
"m[8,13,1]",0.785139339321357,0.794505,0.746552267771253,203.5,0.95,0.470743,1.08421,NA,NA,NA,NA,NA,NA,NA
"m[9,13,1]",0.837629477045908,0.838801,0.821052340208335,357.7,0.95,0.548967,1.1217,NA,NA,NA,NA,NA,NA,NA
"m[10,13,1]",0.854567718562874,0.856195,0.914884765045243,257,0.95,0.419307,1.37498,NA,NA,NA,NA,NA,NA,NA
"m[11,13,1]",1.16451370259481,1.17057,1.18967275779288,217.8,0.95,0.902276,1.40858,NA,NA,NA,NA,NA,NA,NA
"m[1,14,1]",0.0370299959510978,0.0427341,0.0199413705290883,292.4,0.95,-0.281664,0.457398,NA,NA,NA,NA,NA,NA,NA
"m[2,14,1]",0.276921500558882,0.291357,0.298710915328183,244.8,0.95,-0.487504,0.988771,NA,NA,NA,NA,NA,NA,NA
"m[3,14,1]",0.251216923057884,0.254656,0.348039165476701,234.9,0.95,-0.253283,0.684652,NA,NA,NA,NA,NA,NA,NA
"m[4,14,1]",0.375356328582834,0.377647,0.382427691012409,340.8,0.95,-0.013349,0.807039,NA,NA,NA,NA,NA,NA,NA
"m[5,14,1]",0.183849575477046,0.207597,0.246794699337472,232.6,0.95,-0.367829,0.715899,NA,NA,NA,NA,NA,NA,NA
"m[6,14,1]",0.620016038323353,0.630425,0.62713754920892,258.9,0.95,0.286799,0.965387,NA,NA,NA,NA,NA,NA,NA
"m[7,14,1]",0.669135459201597,0.664852,0.666267753568355,255.8,0.95,0.190878,1.27358,NA,NA,NA,NA,NA,NA,NA
"m[8,14,1]",0.789219622754491,0.788598,0.751787871534828,262.1,0.95,0.4013,1.14637,NA,NA,NA,NA,NA,NA,NA
"m[9,14,1]",0.841709866267465,0.847247,0.804164749272192,270,0.95,0.483586,1.18646,NA,NA,NA,NA,NA,NA,NA
"m[10,14,1]",0.858648176047904,0.873358,0.906659359029612,255.3,0.95,0.378875,1.35502,NA,NA,NA,NA,NA,NA,NA
"m[11,14,1]",1.16859394810379,1.18894,1.22464973271049,234,0.95,0.841771,1.48658,NA,NA,NA,NA,NA,NA,NA
"m[1,15,1]",0.0367457439321357,0.0341376,0.0572452659903674,419.8,0.95,-0.352641,0.391133,NA,NA,NA,NA,NA,NA,NA
"m[2,15,1]",0.276637214730539,0.283421,0.32164508687202,138.9,0.95,-0.534931,1.02221,NA,NA,NA,NA,NA,NA,NA
"m[3,15,1]",0.250932633812375,0.261584,0.323751643609974,126.6,0.95,-0.183129,0.757339,NA,NA,NA,NA,NA,NA,NA
"m[4,15,1]",0.375072080998004,0.360912,0.334008574781287,325.6,0.95,-0.0215093,0.826989,NA,NA,NA,NA,NA,NA,NA
"m[5,15,1]",0.183565342001397,0.187849,0.199976278498601,290.4,0.95,-0.388966,0.80843,NA,NA,NA,NA,NA,NA,NA
"m[6,15,1]",0.619731801796407,0.616716,0.614919741383853,377.6,0.95,0.237651,0.97981,NA,NA,NA,NA,NA,NA,NA
"m[7,15,1]",0.668851081437126,0.666007,0.632836704376263,111.3,0.95,0.125976,1.2425,NA,NA,NA,NA,NA,NA,NA
"m[8,15,1]",0.788935371257485,0.784529,0.741693641832303,322.7,0.95,0.335757,1.15775,NA,NA,NA,NA,NA,NA,NA
"m[9,15,1]",0.84142570259481,0.825241,0.763123043403702,372.3,0.95,0.464469,1.20182,NA,NA,NA,NA,NA,NA,NA
"m[10,15,1]",0.85836374491018,0.850697,0.792199867223747,194.5,0.95,0.388054,1.44345,NA,NA,NA,NA,NA,NA,NA
"m[11,15,1]",1.16830982235529,1.16394,1.16458082695168,390.8,0.95,0.812038,1.51577,NA,NA,NA,NA,NA,NA,NA
"m[1,16,1]",-0.112446757780439,-0.102757,-0.0545265043716606,283,0.95,-0.438067,0.237156,NA,NA,NA,NA,NA,NA,NA
"m[2,16,1]",0.127444747087824,0.153558,0.17769454656741,135.8,0.95,-0.649943,0.853801,NA,NA,NA,NA,NA,NA,NA
"m[3,16,1]",0.101740154391218,0.118381,0.181518869060535,206.5,0.95,-0.441092,0.547825,NA,NA,NA,NA,NA,NA,NA
"m[4,16,1]",0.22587957347505,0.232704,0.26710093935813,286.2,0.95,-0.152952,0.621845,NA,NA,NA,NA,NA,NA,NA
"m[5,16,1]",0.034372832001996,0.0374143,0.0255890571603348,202.5,0.95,-0.495982,0.649175,NA,NA,NA,NA,NA,NA,NA
"m[6,16,1]",0.470539339121756,0.48055,0.524002048576613,325.8,0.95,0.158093,0.771173,NA,NA,NA,NA,NA,NA,NA
"m[7,16,1]",0.519658663373254,0.524261,0.548262778532551,256.7,0.95,0.0362248,1.00508,NA,NA,NA,NA,NA,NA,NA
"m[8,16,1]",0.639742948103792,0.649156,0.664544132109964,306.3,0.95,0.347681,0.992755,NA,NA,NA,NA,NA,NA,NA
"m[9,16,1]",0.692233043912176,0.699046,0.724909403657539,267.7,0.95,0.332789,0.990034,NA,NA,NA,NA,NA,NA,NA
"m[10,16,1]",0.70917139261477,0.703298,0.663507567078801,240.6,0.95,0.216516,1.20466,NA,NA,NA,NA,NA,NA,NA
"m[11,16,1]",1.01911736726547,1.02904,1.06825671222333,273.9,0.95,0.733036,1.33302,NA,NA,NA,NA,NA,NA,NA
"m[1,17,1]",-0.043795741001996,-0.0402373,-0.0187155901033984,302.6,0.95,-0.44241,0.403739,NA,NA,NA,NA,NA,NA,NA
"m[2,17,1]",0.196095684690619,0.208316,0.203495431775379,206.4,0.95,-0.669674,0.89447,NA,NA,NA,NA,NA,NA,NA
"m[3,17,1]",0.170391179453094,0.180323,0.202054433052196,198.2,0.95,-0.385825,0.694277,NA,NA,NA,NA,NA,NA,NA
"m[4,17,1]",0.294530575239521,0.297235,0.295685770813028,345.4,0.95,-0.120875,0.80209,NA,NA,NA,NA,NA,NA,NA
"m[5,17,1]",0.103023832471058,0.11135,0.149479051346298,229.9,0.95,-0.499419,0.713911,NA,NA,NA,NA,NA,NA,NA
"m[6,17,1]",0.539190291616766,0.539919,0.543562586091282,302.1,0.95,0.180362,0.976835,NA,NA,NA,NA,NA,NA,NA
"m[7,17,1]",0.588309655289421,0.601665,0.665176842622902,261,0.95,-0.0215471,1.17121,NA,NA,NA,NA,NA,NA,NA
"m[8,17,1]",0.708393924151697,0.716725,0.752863670450689,260.1,0.95,0.313937,1.19483,NA,NA,NA,NA,NA,NA,NA
"m[9,17,1]",0.760884063473054,0.765864,0.794694677389203,315.1,0.95,0.333254,1.12997,NA,NA,NA,NA,NA,NA,NA
"m[10,17,1]",0.777822304391218,0.781323,0.768436324925865,265.9,0.95,0.269552,1.33515,NA,NA,NA,NA,NA,NA,NA
